educ,age,inc_q,emp_in,mobileowner,internetaccess,account,female
2,62,5,1,1,2,1,1
2,22,1,1,1,2,0,1
1,28,3,1,1,2,0,1
3,23,5,1,1,1,1,0
2,19,5,1,1,1,1,0
2,27,4,2,1,1,0,0
2,24,3,1,1,2,0,1
2,51,5,1,1,1,1,1
2,23,3,1,1,1,1,0
2,25,3,1,1,1,1,1
4,59,4,1,1,2,0,0
2,65,4,1,1,1,0,0
1,60,5,2,1,2,0,0
3,30,5,1,1,1,1,0
1,61,3,2,1,1,0,0
2,45,4,1,1,2,0,0
2,21,4,1,1,1,1,0
2,39,4,1,1,1,1,1
3,36,4,1,1,1,1,0
1,59,1,1,1,2,0,1
1,67,2,1,2,2,1,0
3,27,5,1,1,1,1,1
1,26,2,1,1,2,1,0
2,18,3,1,1,1,1,0
2,17,1,1,1,2,0,1
2,31,4,1,1,1,1,0
3,34,5,1,1,1,1,1
2,33,4,1,1,1,1,1
1,36,2,1,1,2,1,1
2,48,3,1,1,1,0,0
2,30,3,1,1,1,0,0
1,35,3,1,1,1,1,0
3,37,5,1,1,1,1,1
2,21,5,1,1,1,1,1
2,28,5,1,1,1,1,1
2,28,1,1,1,1,0,0
2,19,3,1,1,1,1,0
1,38,3,1,1,1,1,1
2,48,1,1,1,2,1,0
2,41,4,1,1,1,1,0
2,22,3,2,1,1,0,0
2,40,1,1,1,2,0,0
2,46,4,2,1,1,1,0
2,35,4,2,1,1,1,0
2,32,1,1,1,2,1,0
3,56,5,1,1,1,1,1
3,24,5,1,1,1,1,0
1,43,1,1,1,2,0,1
2,40,5,1,1,1,1,1
2,23,1,2,1,2,0,0
2,78,4,1,1,2,0,0
2,17,4,2,1,1,0,1
1,19,1,1,1,1,0,1
2,22,2,1,1,1,1,1
3,28,5,1,1,1,1,1
2,25,5,1,1,1,1,1
2,74,3,2,1,2,0,0
1,40,2,1,1,2,1,1
2,58,4,1,1,1,1,1
2,35,1,1,1,2,0,0
1,68,1,2,1,1,1,0
3,76,5,2,2,2,1,1
2,21,4,1,1,1,1,0
2,27,3,1,1,1,1,1
2,35,1,1,1,1,1,0
3,36,5,1,1,1,1,1
2,52,3,1,1,1,1,0
2,42,5,1,1,1,1,1
2,15,1,2,1,2,0,0
3,70,5,1,1,1,1,1
2,38,4,1,1,1,1,0
2,21,4,1,1,2,0,0
1,38,3,1,1,1,0,1
1,33,2,1,1,1,1,0
3,57,5,1,1,1,1,1
2,19,5,1,1,2,1,0
3,25,2,1,1,1,1,0
2,20,1,1,1,2,0,1
2,19,1,1,1,1,1,0
2,30,3,1,1,1,0,0
1,23,1,2,1,2,1,0
2,49,4,1,1,1,1,0
2,51,5,1,1,1,0,1
1,70,1,2,1,2,0,0
2,40,4,1,1,2,0,1
2,34,5,1,1,1,1,1
2,60,2,1,1,1,1,1
3,67,5,1,1,1,1,0
1,70,1,1,2,1,1,1
2,18,5,2,1,1,0,1
2,25,4,1,1,1,1,0
2,22,1,1,1,2,1,0
2,62,3,2,2,2,0,0
1,54,2,1,1,2,1,0
2,36,1,2,1,2,1,1
2,25,2,1,1,1,1,0
3,28,5,1,1,1,1,1
3,78,5,2,1,2,1,0
